study,Journal,Start Date,End Date,Country,Income,Region,WHO_Region,Study Design,Setting,Sample,Is this a special population?,Age,Age (measure),Female patients (n),Disease Severity,Do all patients included have laboratory-confirmed SARS-CoV-2 infection? (If not - study should be excluded),"Does the study meet any of the listed exclusion criteria (see covidence/protocol(?  IF YES to any, please do not proceed and send Brad Covidence #",ARDS,Mechanical Ventilation,ICU ,Smokers,COPD,CVD,Diabetes,Dialysis,Malignancy,Immunocompromised,"Patients identified to have growth of significant bacteria in the respective appropriate culture specimens (e.g., urine, tracheal aspirate, and blood from the central line, etc.) collected during admission were included.",Testing,Provide detail about testing methods - can cut and paste from text,clinical_def,body_site_specific,body_site,patients_eval,coinfection,secondary_infection,bacterial_infection_unspecified,Resistant co-infection,Resistant secondary infection,resistant unknown bacterial infection,Bacteria names specified?,Susceptibility_reported,AMR_Prev_Evaluable?,Resistant_pts_total,NonR_pts_total,UnknownR_pts_total,Pts_Denom,Resistant_organisms,Non-Resistant organisms,Unknown organism resistance,Orgs_Denom,blood_organisms_total,blood_R_organisms_total,resp_organisms_total,resp_R_organisms_total,urine_organisms_total,urine_R_organisms_total,skin_organisms_total,skin_R_organisms_total,other_site_organism_total,other_R_organisms_total,unknown_site_total,unknown_site_R_total,Mycoplasma,Chlamydia,Legionella,SA,blood_SA,resp_SA,urine_SA,skin_SA,other_SA,SA_R,MRSA,VRSA,S_pneumo,blood_Strepp,resp_Strepp,urine_Strepp,other_Strepp,S_pneumo_R,S_pneumo_pen_R,S_pneumo_FQ_R,Enterococcus,blood_Enterococcus,resp_Enterococcus,urine_Enterococcus,skin_Enterococcus,other_enterococcus,Enterococcus_R,Haemophilus_isolates,blood_Hflu,resp_Hflu,urine_Hflu,skin_Hflu,Hflu_R_isolates (AmpR Hflu),Psa,blood_Psa,resp_Psa,urine_Psa,skin_Psa,other_Psa,Psa_R,Psa_ESBL,Psa_CR,Psa_ColR,Psa_MDR,Kleb,blood_Kleb,resp_Kleb,urine_Kleb,skin_Kleb,other_kleb,Kleb_R,Kleb_ESBL,Kleb_CR,Kleb_ColR,Kleb_MDR,Ecoli,blood_EColi,resp_EColi,urine_EColi,skin_EColi,other_EColi,EColi_R,Ecoli_ESBL,Ecoli_CR,Ecoli_ColR,Ecoli_MDR,Acineto,blood_Acineto,resp_Acineto,urine_Acineto,skin_Acineto,other_Acineto,Acineto_R,Acineto_CR,Acineto_ColR,Acineto_MDR,Ebacter,blood_Ebacter,resp_Ebacter,urine_Ebacter,skin_Ebacter,Ebacter_R_isolates,Ebacter_ESBL,Ebacter_CR,Ebacter_ColR,Ebacter_MDR,CNST,CNST_blood,CNST_resp,CNST_other,Citrobacter,blood_Citrobacter,resp_Citrobacter,urine_Citrobacter,skin_Citrobacter,other_Citro,C_bacter_R_,MDR Citrobacter,Moraxella,blood_Morax,resp_Morax,urine_Morax,skin_Morax,Steno,blood_Steno,resp_Steno,urine_Steno,skin_Steno,other_Steno,Steno_MDR,Serratia,blood_Serratia,resp_Serratia,urine_Serratia,skin_Serratia,Serratia_R,Serratia_ESBL,Serratia_CR,Serratia_ColR,Strep not-Pneumo,Proteus,blood_Proteus,resp_Proteus,urine_Proteus,skin_Proteus,other_proteus,Proteus_R,Proteus_ESBL,Proteus_CR,Proteus_ColR,Proteus_MDR,Other GN,Other GP,Other not reported,C difficile  - Don't count towrds other columns (pts),Other bacteria not previously reported,corticosteroids,il_6_inhibitors,abx,Critical Appraisal 1: Was the study’s target population a close representation of the national population in relation to relevant variables? ,Critical Appraisal 2: Was the sampling frame a true or close representation of the target population?,"Critical Appraisal 3 Was some form of random selection used to select the sample, OR, was a census undertaken?",Critical Appraisal 4: Was the likelihood of nonresponse bias minimal?,Critical Appraisal 5: Were data collected directly from the subjects (as opposed to a proxy)?,Critical Appraisal 6: Was an acceptable case definition used in the study?,Critical Appraisal 7: Was the study instrument that measured the parameter of interest shown to have validity and reliability?,Critical Appraisal 8: Was the same mode of data collection used for all subjects?,Critical Appraisal 9: Was the length of the shortest prevalence period for the parameter of interest appropriate?,Critical Appraisal 10: Were the numerator(s) and denominator(s) for the parameter of interest appropriate?,bias,Quality_score,"Did this study evaluate bacterial co-infection or secondary infection outcomes compared to non-coinfection or non-secondary infection clinical outcomes? (i.e, mortality or LOS)",Mortality difference,LOS difference,Adjusted? (at minimum age),Mortality OR/HR Co-infection,LCL (Mortality OR/HR Co-infection),UCL (Mortality OR/HR Co-infection),Mortality OR/HR Secondary Infection,LCL (Mortality OR/HR Secondary Infection),UCL (Mortality OR/HR Secondary Infection),Mortality OR/HR unspecified/both types Infection,LCL (Mortality OR/HR unspecified/both types Infection),UCL (Mortality OR/HR unspecified/both types Infection),Infection_Type,Infection_Prevalence,I_Prev_Sensi_exclude,AMR_Prevalence_Overall,AMR_Prevalence_Select
"DeVoe C, 2021",Infect Control Hosp Epidemiol,03/01/2020,10/01/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,314,,57.9,Mean,138,All combined,Yes,No,,,126,,,,,,,100,,Culture,NHSN definitions,Yes,"resp, blood, urine",multiple,314,,31,,,,,No,No,No,,,31,31,,,31,31,24,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No or unclear,No or unclear,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,Yes,Yes,moderate,5,No,,,,,,,,,,,,,Secondary,Y,,N,N
"Dolci A, 2020",Clin Chem Lab Med,02/01/2020,03/01/2020,Italy,HIC,Europe,Europe,Retrospective Cohort,Hospital,83,,64,Median,15,All combined,Yes,No,,,31,,,,,,,,,Culture,Positivity of blood cultures and/or of cultures of lower respiratory tract specimens (bronchoalveolar lavage fluid or bronchial aspirate),No,"resp, blood",multiple,83,,,33,,,33,No,No,No,,,33,33,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No or unclear,No or unclear,No or unclear,Yes,No or unclear,No or unclear,Yes,No or unclear,No or unclear,Yes,high,3,Yes,"Univariate analysis evealed bacterial co-infection significantly associated with death OR 11.9 (3.9-36.5) p<0.0001 --> ""...all the evaluatedlaboratory tests, except LY count, together with age and thepresence of bacterial co-infection, were predictor of death(Table 5)""",,No,,,,,,,,,,Unspecified,Y,,N,N
"Dravid A, 2021",Medicine,04/02/2020,11/02/2020,India,LMIC,Asia,South-East Asia,Retrospective Cohort,Hospital,515,Received tocilizumab,57,Median,125,All combined,Yes,No,,242,327,,22,70,234,,6,,,Culture,All positive blood and respiratory cultures (bacterial and fungal culture) were assessed by an Infectious Diseases physician to decide infection versus colonization. Infections were included if they occurred > 48 h after TCZ administration.,Yes,"resp, blood",multiple,515,,22,,,,,Yes,Yes,Yes,14,,8,22,14,,8,22,11,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515,515,360,Yes,No or unclear,Yes,Yes,No or unclear,No or unclear,Yes,No or unclear,Yes,No or unclear,moderate,5,No,,,,,,,,,,,,,Secondary,Y,,Y,Y
"Elabbadi A, 2021",Infection,02/22/2020,05/07/2020,France,HIC,Europe,Europe,Retrospective Cohort,Hospital,101,,61,Median,22,Critical,Yes,No,,88,101,4,7,14,33,9,4,,,Culture,"Direct examination and quantitative cultures were performed on usual media for sputum, tracheal aspirate, plugged telescoping catheter, or bronchoalveolar lavage, considering the respective positivity thresholds",No,resp,resp,101,20,48,,,,,Yes,Yes,No,2,,66,68,2,,23,25,,,25,2 MRSA,,,,,,,,,,,,11,,11,,,,2,2,,1,,1,,,,,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,2,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,2,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,58,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,9,Yes,"There was no difference in mortality or ICU LOSbetween patients with or without early bacterialcoinfection (20% vs 21%, p=0.99; 14% for both groups p=0.98 respectively","All patients were ICU patients. ICU LOS not different between both groups (14 vs 14 days, p=0.98)",No,,,,,,,,,,Both,Y,,N,Y
"Esteban Ronda V, 2021",Med Clin,03/15/2020,06/15/2020,Spain,HIC,Europe,Europe,Retrospective Cohort,Hospital,208,,63,Mean,88,All combined,Yes,No,,33,38,,31,52,46,,,0,,Culture,"respiratory bacterial coinfection, defined as the existence of positive respiratory cultures (sputum, tracheobronchial aspirate or cultures obtained by bronchoscopy),",Yes,resp,resp,208,20,,,,,,No,No,No,,,20,20,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No or unclear,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,moderate,7,No,,,,,,,,,,,,,Co-infection,Y,,N,N
"Evans T, 2021",J Infect Prev,04/01/2020,04/25/2020,UK,HIC,Europe,Europe,Retrospective Cohort,Hospital,130,,67,Median,51,All combined,Yes,No,,11,31,,,,,,,,,Culture + Urine Ag,"Legionella antigen testing and mycoplasma serology was recommended for all intensive care cases but not routinely for ward patients. Blood cultures were advised if pyrexial, as well as sputum culture in patients with a productive cough. Respiratory PCR (including Mycoplasma PCR) was not available due to lack of reagents",Yes,"resp, blood",multiple,130,0,,,0,0,0,Yes,No,No,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,No or unclear,No or unclear,No or unclear,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,moderate,6,No,,,,,,,,,,,,,Co-infection,Y,,N,N
"Falcone M, 2021",J Antimicrob Chemother,03/04/2020,04/30/2020,Italy,HIC,Europe,Europe,Prospective Cohort,Hospital,315,,69,Mean/Average,105,All combined,Yes,No,,55,85,,49,103,64,6,44,,,Culture,Gram staining and a rapid identification protocol were performed on positive blood cultures and other biological samples. MALDI-TOF MS (Bruker Daltonics) was used for species identification. The presence of a bla gene was determined by PCR using the GeneXpertVR System (Cepheid),Yes,"resp, blood, urine, skin, IAI",multiple,315,,69,,,,,Yes,Yes,Yes,,,69,69,63,2,53,118,33,,16,,30,,1,,1,,37,"2 ESBL Kleb, 35 CRE Kleb, 6 MRSA, 11 ESBL Enterobacterales (unspecified), 3 R Acinetobacter, 2 R Steno, 1 R pseudomonas, 3 MDR Corynebacterium striatum, 4 MDR E faecium",,,,8,4,1,,,3,6,6,,,,,,,,,,10,2,,4,,,4,,,,,,,22,4,1,7,,,1,,,,1,46,11,9,12,1,,37,2,35,,,10,2,2,5,,,,,,,,4,1,2,,,,3,,,3,6,2,,2,,,,,,,6,4,,,2,,2,,,,,,,,,,,2,1,1,,,,2,,,,,,,,,,,1,,,,,,,,,,,,3,,,Corynebacterium=3,141,51,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,low,10,Yes,"mortality rates were similar between pateints who developed superinfections compared with those who did not (18.8% versus 23.2%, P = 0.445).","Length of hospital stay was longer in patients who developed superinfections ompared with those who did not (30 versus 11 days, P < 0.001)",No,,,,,,,,,,Secondary,Y,,Y,Y
"Fierens J, 2021",Acta Clin Belg,03/01/2020,06/30/2020,Belgium,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,74,,62.5,,23,Critical,Yes,No,,49,74,,,,,,,,,Culture + Urine Ag,"Bacterial co-infection in COVID19 was diagnosed by either a positive urinary antigen or a positive sputum, endotracheal aspirate or BAL culture for bacterial pathogens, combined with a strong clinical suspicion for bacterial infection, such as a lobar infiltrate, progressive organ failure or septic shock, within 48 hours after ICU admission.",Yes,"resp, blood",multiple,74,5,38,,,,,Yes,No,No,,,43,43,,,89,89,,,,,,,,,,,,,,,,3,,,,,,,,,2,,2,,,,,,9,,,,,,,2,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,44 enterobacterales not further specified,,,38,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,moderate,7,No,,,,,,,,,,,,,Both,Y,,N,N
"Fontana C, 2021",Sci Rep,03/01/2020,06/01/2020,Italy,HIC,Europe,Europe,Retrospective Cohort,Hospital,152,all BAL and sputum samples,65,Mean,59,Moderate/severe/critically ill,Yes,No,,23,23,,,,,,,,,NAAT,"BiofireÂ®FilmArrayÂ® Pneumonia plus (FAPP) FAPP is a syndromic panel based on multiplex PCR. targeting 18 bacterial pathogens (11 g-negative, 4 g-positive and 3 atypical), 9 viruses and 7 determinants of resistance (namely, CTX-M, KPC, NDM, Oxa48-like, VIM, IMP, mecA/mecC and MREJ).",No,resp,resp,152,,,92,,,,Yes,Yes,Yes,45,34,13,92,51,41,53,145,,,145,51,,,,,,,,,,,,48,,48,,,,30,30,,4,,4,,,,,,,,,,,,,12,,12,,,,21,,21,,,,,,,,,21,,21,,,,,,,,,13,,13,,,,,,,,,8,,8,,,,,,,,10,,10,,,,,,,,,,,,,,,,,,,,5,,5,,,,,,,,,,2,,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,No or unclear,No or unclear,Yes,Yes,Yes,No,Yes,No or unclear,Yes,No or unclear,moderate,5,No,,,,,,,,,,,,,Unspecified,Y,Y,Y,Y
"Foschi C, 2021",J Microbiol Methods,03/10/2020,12/30/2020,Italy,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,178,all BAL and sputum samples,,,,All combined,Yes,No,,178,178,,,,,,,,,Culture + NAAT,"semi-quantitative culture and by a multiplex PCR panel (FilmArray Pneumonia Plus panel), allowing rapid detection of a wide range of clinically relevant pathogens and a limited number of antimicrobial resistance markers.",Yes,resp,resp,178,,,,,,,Yes,Yes,No,,,,,14,11,119,144,,,144,14,,,,,,,,,1,,,25,,25,,,,8,8,,6,,6,,,,,,,,,,,,,7,,7,,,,37,,37,,,,,,,,,31,,31,,,,,,,,,8,,8,,,,,,,,,16,,16,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,8,,,,,,,1,,,,,,,,,,,,,,,,,,,,No or unclear,No or unclear,Yes,No or unclear,Yes,No,Yes,No or unclear,Yes,No or unclear,high,4,No,,,,,,,,,,,,,Unspecified,N,,N,Y
"Garcia-Vidal C, 2021",Clinical Microbiology and Infection,02/28/2020,04/22/2020,Spain,HIC,Europe,Europe,Retrospective Cohort,Hospital,989,,62,Median,437,All combined,Yes,No,,,146,,108,138,103,,86,,,Culture + Urine Ag,"Bloodstream infection was defined as the growth of a non-skin flora commensal on one or more blood culture. To define a bloodstream infection as that caused by a common skin colonizer such as coagulase-negative staphylococci or Corynebacterium, we required two or more blood cultures drawn from different sites and a clinical evaluation from one of our researchers (CGV or EMG). We then considered the clinical significance of such bloodstream infection. Urinary infection was defined as the growth of a bacterium or fungus in a cultured urine sample from a patient with clinical symptoms and/or the consideration of such urinary infection as clinically significant by one of our researchers. All of these clinically indicated infections were categorized as co-infections or superinfections. If diagnosis was at the time of or within the first 24 hours of COVID-19 hospital admission, these infections were defined as community-acquired co-infections. If diagnosis occurred 48 hours after admission for COVID-19, these infections were defined as hospital-acquired superinfections",Yes,"resp, blood, urine, IAI",multiple,989,25,38,,,,,Yes,Yes,Yes,9,,54,63,9,,67,76,16,,38,,19,,,,3,,,,,,,12,,11,1,,,,,,12,,12,,,,,,10,3,,4,,,,2,,2,,,,10,3,6,1,,,,,,,,6,,2,4,,,,,,,,8,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,1,,1,,,,,1,,1,,,3,,3,,,,,2,,1,1,,,,,,1,1,,,1,,,,,,,,,,,,,307,221,813,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,low,10,Yes,"prolonged length of hospital stay (20 vs 9, p<0.001) and higher mortality (18.6 vs 9.4, p=0.047).","prolonged length of hospital stay (20 vs 9, p<0.001) and higher mortality (18.6 vs 9.4, p=0.047).",No,,,,,,,,,,Both,Y,,Y,Y
"Gerver S, 2021",Clin Microbiol Infect,01/01/2020,06/30/2020,United Kingdom,HIC,Europe,Europe,Retrospective Cohort,Hospital/Outpatient,223413,,55,weighted median,,All combined,Yes,No,,,,,,,,,,,,Culture,"coinfection or secondary infection by bacteria or fungi, defined as a laboratory-confirmed blood or respiratory culture of one of 24 clinically relevant bacterial/fungal organisms",No,"resp, blood",multiple,223413,820,1098,,,,,Yes,No,No,,,1918,1918,,,3085,3085,2112,,973,,,,,,,,,,0,,,510,248,262,,,,,,,63,39,24,,,,,,435,410,25,,,,,115,3,112,,,,254,108,146,,,,,,,,,540,370,170,,,,,,,,,568,502,66,,,,,,,,,36,20,16,,,,,,,,123,83,40,,,,,,,,7,0,7,,,,,,,,,,,,,,,42,7,35,,,,,89,48,41,,,,,,,298,,,,,,,,,,,,5,,,208,1=Achromobacter spp; 4=Burkholderia spp.,,,,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,8,No,,,,,,,,,,,,,Both,Y,,N,N
"Giacobbe D, 2020",European Journal of Clinical Investigation,02/20/2020,04/10/2020,Italy,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,78,,66,Median,18,Critical,Yes,No,,,78,,10,,14,,5,,,Culture,blood culture,Yes,blood,blood,78,,31,,,,,Yes,Yes,Yes,,,31,31,3,19,20,42,42,"1 VRE, 2 R Enterobacterales ",,,,,,,,,,,,,,6,6,,,,,0,0,,1,1,,,,,0,,12,12,,,,,1,,,,,,,2,2,,,,,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,,,,,,1,,,,Prevotella=1,24,18,75,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,moderate,7,No,-,-,-,,,,,,,,,,Secondary,Y,,Y,Y
"Giacobbe D, 2021",Antibiotics,not stated,12/01/2020,Italy,HIC,Europe,Europe,Retrospective Cohort,Hospital,200,Treated with ceftaroline,66,Median,56,All combined,Yes,No,,8,34,,,,,,,2,SOT + Hematopoietic Stem Cell Transplantation,Culture + Urine Ag,,Yes,"resp, blood",multiple,165,,,5,,,,Yes,No,No,,,5,5,,,5,5,1,,4,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,No or unclear,No or unclear,No or unclear,Yes,Yes,No or unclear,Yes,No or unclear,Yes,Yes,moderate,5,No,,,,,,,,,,,,,Unspecified,Y,Y,N,N
"Goncalves Mendes Neto A, 2021",Journal of Medical Virology,03/01/2020,04/24/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,242,,66,Mean/Average,119,All combined,Yes,No,,54,49,,30,45,118,19,,,,Culture,"Bacterial coinfection was determined by the presence of characteristic clinical features and positive blood, sputum, urine, or tissue culture results",Yes,"resp, blood, urine, skin",multiple,242,,,46,,,,No,No,No,,,46,46,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,21,162,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,high,4,Yes,"After adjustment, bacterial infection associated with inpatient mortality: OR, 5.838; 95% CI, 2.647-12.876; P < .0001",No,Yes,,,,,,,5.838,2.647,12.876,Unspecified,Y,,N,N
"Gragueb-Chatti I, 2021",Ann Intensive Care,03/10/2020,11/07/2020,France,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,151,,64,,31,Critical,Yes,No,,151,151,37,,,55,,18,11,Immunosuppression,Culture,"ICU-acquired BSI was defined as at least one positive blood culture for bacteria or fungi, drawn at >â€‰48 h after ICU admission was positive. VAP defined as positive culture from broncho-alveolar lavage (BAL) or a positive quantitative culture from endotracheal aspirate (ETA) specimen.",Yes,"resp, blood",multiple,151,,98,,,,,Yes,Yes,No,,,98,98,4,31,141,176,49,1,127,3,,,,,,,,,,,,35,7,28,,,,4,4,,,,,,,,,,21,13,8,,,,,3,,3,,,,25,3,22,,,,,,,,,30,3,27,,,,,,,,,5,2,3,,,,,,,,,3,1,2,,,,,,,,8,1,7,,,,,,,,12,12,,,2,,2,,,,,,,,,,,3,,3,,,,,5,2,3,,,,,,,,4,1,3,,,,,,,,,10,5,,,,98,9,110,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,8,No,,,,,,,,,,,,,Secondary,Y,,N,Y
"Grasselli G, 2021",Chest,02/20/2020,07/23/2020,Italy,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,774,,62,Median,177,Critical,Yes,No,,689,774,,,,130,,,91,,Culture,in supplement,Yes,"resp, blood, urine",multiple,774,,,,,,,Yes,Yes,Yes,,,,,246,436,41,723,257,,406,,60,,,,,,,,,,,151,37,114,,,,83,83,,5,1,4,,,1,1,,117,63,21,33,,,29,,,,,,,119,23,88,8,,,34,,,,34,63,16,44,3,,,,,,,25,54,10,32,12,,,,,,,18,21,15,6,,,,,,,19,,,,,,,,,,,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,14,,2,,207,187,534,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,moderate,7,Yes,"The same mortality risk (ie, 31%) was observed in patients with infections resulting from MDR bacteria (n = 135) and in those with infections resulting from non-MDR bacteria (n = 224; P = .903)",No,No,,,,,,,,,,Secondary,N,,Y,Y
"Gudiol C, 2021",J Infect,03/01/2020,06/30/2020,Multiple,Both,Multiple,Multiple,Retrospective/Prospective Cohort,Hospital,684,Active malignancy or were HSCT recipients,67,Median,289,All combined,Yes,No,214,57,85,,47,23,114,,684,451,Immunosuppressive therapy,Culture,Infectious were defined using the Centers for Disease Control National Healthcare and Safety Networ,Yes,"resp, blood, urine",multiple,590,,65,,,,,Yes,Yes,Yes,,,65,65,6,7,90,103,33,,48,,17,,,,5,,,,,,,3,,2,1,,,2,2,,4,,3,,1,,,,15,8,,7,,,,1,,1,,,,23,4,16,3,,,,,,,,,,,,,,,,,,,10,4,2,3,,1,,,,,,1,,1,,,,,,,,3,,3,,,,,,,,16,16,,,1,,,1,,,,,,,,,,2,,2,,,,,,,,,,,,,,1,2,,,2,,,,,,,,1,,20,6,,224,93,493,Yes,No or unclear,No or unclear,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,moderate,6,No,,,,,,,,,,,,,Secondary,Y,,Y,Y
"Gupta A, 2021",Ann Hematol,03/15/2020,05/31/2021,India,LMIC,Asia,South-East Asia,Propsective Cohort,Hospital,242,Patients with haematological malignancies. Looked only at ICU patients for infection,41,Median,83,All combined,Yes,No,,38,89,,,68,51,,242,193,"immunocompromised due to cancer treatment: chemotherapy=124, chemoimmunotherapy=39, oral targeted agent=24, immunosupporession only=6",Culture,Detail not available; discussion indicates bacterial sepsis by culture,No,unspecified,unspecified,89,,,37,,,37,No,No ,No,,,37,37,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,8,153,Yes,Yes,Yes,Yes,No,No,No or unclear,No or unclear,No or unclear,No or unclear,high,4,No,,,,,,,,,,,,,Unspecified,Y,,N,N
"Ho KS, 2021",BMJ Open Resp Research,03/07/2020,05/10/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,4313,,65.1,Median,1872,All combined,Yes,No,,581,324,1091,175,,1010,,,,,Culture,blood cultures,No,blood,blood,4313,,,265,,,265,No,No,No,,,265,265,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,20,397,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,9,No,,,,,,,,,,,,,Unspecified,Y,,N,N
"Hughes S, 2020",Clinical Microbiology and Infection,02/20/2020,04/30/2020,UK,HIC,Europe,Europe,Retrospective Cohort,Hospital,836,,69.5,Median,317,All combined,Yes,No,,,113,,,,,,,,,Culture + Urine Ag,"culture of blood, sputum and bronchoalveolar lavage (BAL), as well as urinary pneumococcal and Legionella antigens and respiratory viral panels looking for noneSARS-CoV-2 pathogens",Yes,"resp, blood",multiple,836,,,50,,,,Yes,No,No,,,50,50,,,56,56,19,,31,,,,,,6,,,,,,,7,1,6,,,,,,,0,,,,,,,,4,4,,,,,,1,,,,,,13,1,12,,,,,,,,,7,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,5,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,2,,,,,,,4,,,,,,,,,,,,10,,,,"Enterobactericiae unspecified=6, halfnia=1, morganella=1, providencia 1, B fragilis = `",,,,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,moderate,7,Yes,"Those patients who had true pathogens in their blood had an increased relative risk of death against baseline of admitted patients (relative risk 1.51, p 0.3543), but this was not reflected among those patients who had a positive culture from their sputum (relative risk 0.90, p 0.8462)",No,No,,,,,,,,,,Unspecified,Y,,N,N
